,Unnamed: 0,acc,bool_hebbian,phi,theta
0,0,0.4446,0,0.01,1
1,1,0.5311,0,0.01,1
2,2,0.4988,0,0.01,1
3,3,0.3491,0,0.01,1
4,4,0.579,0,0.01,1
5,5,0.1826,1,0.01,1
6,6,0.1874,1,0.01,1
7,7,0.2308,1,0.01,1
8,8,0.3485,1,0.01,1
9,9,0.426,1,0.01,1
10,10,0.4214,0,0.02,1
11,11,0.5419,0,0.02,1
12,12,0.4194,0,0.02,1
13,13,0.4611,0,0.02,1
14,14,0.436,0,0.02,1
15,15,0.4024,1,0.02,1
16,16,0.4278,1,0.02,1
17,17,0.5,1,0.02,1
18,18,0.3547,1,0.02,1
19,19,0.4991,1,0.02,1
20,20,0.4982,0,0.03,1
21,21,0.6492,0,0.03,1
22,22,0.5839,0,0.03,1
23,23,0.2737,0,0.03,1
24,24,0.4483,0,0.03,1
25,25,0.7199,1,0.03,1
26,26,0.4865,1,0.03,1
27,27,0.6086,1,0.03,1
28,28,0.5955,1,0.03,1
29,29,0.4219,1,0.03,1
30,30,0.6337,0,0.04,1
31,31,0.6963,0,0.04,1
32,32,0.6395,0,0.04,1
33,33,0.4754,0,0.04,1
34,34,0.5591,0,0.04,1
35,35,0.7628,1,0.04,1
36,36,0.5913,1,0.04,1
37,37,0.6264,1,0.04,1
38,38,0.485,1,0.04,1
39,39,0.6058,1,0.04,1
40,40,0.5597,0,0.05,1
41,41,0.7099,0,0.05,1
42,42,0.4518,0,0.05,1
43,43,0.6489,0,0.05,1
44,44,0.5579999999999999,0,0.05,1
45,45,0.5929,1,0.05,1
46,46,0.6717,1,0.05,1
47,47,0.7416,1,0.05,1
48,48,0.36,1,0.05,1
49,49,0.5917,1,0.05,1
50,50,0.4681,0,0.06000000000000001,1
51,51,0.613,0,0.06000000000000001,1
52,52,0.6325,0,0.06000000000000001,1
53,53,0.4534,0,0.06000000000000001,1
54,54,0.7003,0,0.06000000000000001,1
55,55,0.4729,1,0.06000000000000001,1
56,56,0.6776,1,0.06000000000000001,1
57,57,0.6846,1,0.06000000000000001,1
58,58,0.7769,1,0.06000000000000001,1
59,59,0.6859,1,0.06000000000000001,1
60,60,0.7623,0,0.06999999999999999,1
61,61,0.7841,0,0.06999999999999999,1
62,62,0.6415,0,0.06999999999999999,1
63,63,0.6483,0,0.06999999999999999,1
64,64,0.6348,0,0.06999999999999999,1
65,65,0.5641,1,0.06999999999999999,1
66,66,0.6957,1,0.06999999999999999,1
67,67,0.8143,1,0.06999999999999999,1
68,68,0.7457,1,0.06999999999999999,1
69,69,0.637,1,0.06999999999999999,1
70,70,0.4554,0,0.08,1
71,71,0.7268,0,0.08,1
72,72,0.7095,0,0.08,1
73,73,0.7955,0,0.08,1
74,74,0.5563,0,0.08,1
75,75,0.7612,1,0.08,1
76,76,0.4096,1,0.08,1
77,77,0.774,1,0.08,1
78,78,0.7132,1,0.08,1
79,79,0.6568,1,0.08,1
80,80,0.6952,0,0.09,1
81,81,0.8625,0,0.09,1
82,82,0.5586,0,0.09,1
83,83,0.7214,0,0.09,1
84,84,0.5536,0,0.09,1
85,85,0.6555,1,0.09,1
86,86,0.7194,1,0.09,1
87,87,0.8586,1,0.09,1
88,88,0.4046,1,0.09,1
89,89,0.6492,1,0.09,1
90,90,0.5254,0,0.1,1
91,91,0.8002,0,0.1,1
92,92,0.6935,0,0.1,1
93,93,0.7046,0,0.1,1
94,94,0.4694,0,0.1,1
95,95,0.667,1,0.1,1
96,96,0.4219,1,0.1,1
97,97,0.8221,1,0.1,1
98,98,0.5742,1,0.1,1
99,99,0.3901,1,0.1,1
100,100,0.7912,0,0.1,1
101,101,0.7434,0,0.1,1
102,102,0.6324,0,0.1,1
103,103,0.3695,0,0.1,1
104,104,0.551,0,0.1,1
105,105,0.4034,1,0.1,1
106,106,0.6634,1,0.1,1
107,107,0.8751,1,0.1,1
108,108,0.5731,1,0.1,1
109,109,0.7806,1,0.1,1
110,110,0.6236,0,0.15000000000000002,1
111,111,0.5602,0,0.15000000000000002,1
112,112,0.8240000000000001,0,0.15000000000000002,1
113,113,0.3915,0,0.15000000000000002,1
114,114,0.7165,0,0.15000000000000002,1
115,115,0.6736,1,0.15000000000000002,1
116,116,0.8553,1,0.15000000000000002,1
117,117,0.7445,1,0.15000000000000002,1
118,118,0.8948,1,0.15000000000000002,1
119,119,0.8851,1,0.15000000000000002,1
120,120,0.6274,0,0.20000000000000004,1
121,121,0.7368,0,0.20000000000000004,1
122,122,0.7028,0,0.20000000000000004,1
123,123,0.6609999999999999,0,0.20000000000000004,1
124,124,0.6534,0,0.20000000000000004,1
125,125,0.4712,1,0.20000000000000004,1
126,126,0.7490000000000001,1,0.20000000000000004,1
127,127,0.5457,1,0.20000000000000004,1
128,128,0.8311,1,0.20000000000000004,1
129,129,0.7965,1,0.20000000000000004,1
130,130,0.9133,0,0.2500000000000001,1
131,131,0.6742,0,0.2500000000000001,1
132,132,0.9091,0,0.2500000000000001,1
133,133,0.8086,0,0.2500000000000001,1
134,134,0.5653,0,0.2500000000000001,1
135,135,0.6453,1,0.2500000000000001,1
136,136,0.8071,1,0.2500000000000001,1
137,137,0.8333,1,0.2500000000000001,1
138,138,0.907,1,0.2500000000000001,1
139,139,0.9037,1,0.2500000000000001,1
140,140,0.5694,0,0.30000000000000004,1
141,141,0.7321,0,0.30000000000000004,1
142,142,0.8041,0,0.30000000000000004,1
143,143,0.8258,0,0.30000000000000004,1
144,144,0.7267,0,0.30000000000000004,1
145,145,0.7961,1,0.30000000000000004,1
146,146,0.5475,1,0.30000000000000004,1
147,147,0.7594,1,0.30000000000000004,1
148,148,0.8490000000000001,1,0.30000000000000004,1
149,149,0.8325,1,0.30000000000000004,1
150,150,0.7524,0,0.3500000000000001,1
151,151,0.7248,0,0.3500000000000001,1
152,152,0.7479,0,0.3500000000000001,1
153,153,0.6287,0,0.3500000000000001,1
154,154,0.7518,0,0.3500000000000001,1
155,155,0.93,1,0.3500000000000001,1
156,156,0.6672,1,0.3500000000000001,1
157,157,0.9205,1,0.3500000000000001,1
158,158,0.6463,1,0.3500000000000001,1
159,159,0.5348,1,0.3500000000000001,1
160,160,0.7312,0,0.4000000000000001,1
